1	shopify seo checklist	410	1800-2200	Informational / How-to	Title	Shopify SEO Checklist: Easy Fixes to Improve Your Store Rankings	https://www.shopify.com/blog/seo-checklist-online-store
	shopify seo tips	380			1.	What Is a Shopify SEO Checklist?	https://gofishdigital.com/blog/ultimate-shopify-seo-checklist/
	shopify schema markup	60			2.	Shopify SEO for Beginners: Start With the Basics	https://www.ecommerce-gold.com/shopify-seo/
	shopify seo for beginners	60			2.1	Set Up Google Search Console	https://www.americaneagle.com/insights/blog/post/the-ultimate-shopify-search-engine-optimization-checklist
	shopify product page seo	40			2.2	Submit Your Shopify Sitemap	https://avidonmarketinggroup.com/blog/shopify-seo-checklist
					2.3	Connect Analytics to Track Organic Traffic	https://www.20northmarketing.com/blog/shopify-seo-checklist
					3.	Shopify SEO Tips for Keyword Research	
					3.1	Find Product Keywords	
					3.2	Find Collection Page Keywords	
					3.3	Find Blog Topic Keywords	
					4.	Shopify Product Page SEO Checklist	
					4.1	Optimize Product Title Tags and Meta Descriptions	
					4.2	Write Better Product Descriptions	
					4.3	Optimize Product Images	
					5.	Shopify Collection Page SEO Checklist	
					5.1	Optimize Collection Page Titles	
					5.2	Add Helpful Collection Descriptions	
					5.3	Use Internal Links Between Collections and Products	
					6.	Shopify Schema Markup Checklist	
					6.1	Add Product Schema	
					6.2	Add Review Schema	
					6.3	Check Structured Data Errors	
					7.	Technical Shopify SEO Checklist	
					7.1	Improve Site Structure and Navigation	
					7.2	Fix Speed and Mobile Issues	
					7.3	Check Indexing and Duplicate Content	
					8.	Content SEO Tips for Shopify Stores	
					8.1	Use Blog Content to Support Product Pages	
					8.2	Add Internal Links from Blog Posts	
					9.	Common Shopify SEO Mistakes to Avoid	
					10.	Shopify SEO Checklist FAQ	
